"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-Jul-2025","BE","386.50","393.50","380.15","386.80","384.50","386.20","386.41","523.00","270.00","20,812","80,41,985.70","618"
"11-Jul-2025","BE","393.55","402.00","380.50","393.45","385.50","386.80","388.41","523.00","270.00","17,537","68,11,492.80","623"
"10-Jul-2025","BE","380.10","396.00","375.00","382.95","393.50","393.45","385.93","523.00","270.00","21,702","83,75,394.10","863"
"09-Jul-2025","BE","386.50","393.90","380.45","383.80","381.50","382.95","388.38","523.00","270.00","25,694","99,79,118.60","822"
"08-Jul-2025","BE","398.50","399.35","380.30","395.90","383.30","383.80","388.53","523.00","270.00","27,915","1,08,45,779.75","893"
"07-Jul-2025","BE","400.00","403.00","394.50","400.70","394.60","395.90","397.30","523.00","270.00","13,735","54,56,862.65","586"
"04-Jul-2025","BE","402.55","406.00","398.50","402.55","400.00","400.70","401.22","523.00","270.00","12,275","49,25,021.60","300"
"03-Jul-2025","BE","396.95","411.45","396.50","396.95","397.20","402.55","404.67","523.00","270.00","22,781","92,18,753.75","390"
"02-Jul-2025","BE","398.65","403.50","392.50","398.90","399.50","396.95","397.65","523.00","270.00","13,460","53,52,381.45","426"
"01-Jul-2025","BE","410.50","411.95","396.00","408.25","400.00","398.90","402.91","523.00","270.00","20,160","81,22,716.00","545"
"30-Jun-2025","BE","412.50","422.45","407.10","412.65","413.00","408.25","413.04","523.00","270.00","14,029","57,94,597.95","432"
"27-Jun-2025","BE","408.50","421.00","402.25","407.50","410.50","412.65","410.27","523.00","270.00","18,885","77,48,000.75","510"
"26-Jun-2025","BE","421.50","427.00","406.00","419.85","406.00","407.50","412.31","523.00","270.00","16,578","68,35,280.55","510"
"25-Jun-2025","BE","402.95","420.95","400.50","400.95","420.95","419.85","416.93","523.00","270.00","36,114","1,50,56,866.10","774"
"24-Jun-2025","BE","385.20","400.95","385.20","381.90","400.95","400.95","397.06","523.00","270.00","17,670","70,16,043.40","378"
"23-Jun-2025","BE","380.50","384.95","372.55","384.35","381.00","381.90","379.34","523.00","270.00","12,489","47,37,617.85","350"
"20-Jun-2025","BE","377.10","397.00","372.00","381.95","380.80","384.35","386.15","523.00","270.00","18,405","71,07,030.75","483"
"19-Jun-2025","BE","393.10","399.90","376.50","393.10","379.00","381.95","387.36","523.00","270.00","17,064","66,09,962.35","552"
"18-Jun-2025","BE","393.00","403.50","380.60","400.60","392.55","393.10","393.12","523.00","270.00","43,402","1,70,62,353.75","613"
"17-Jun-2025","BE","422.95","423.50","400.60","421.65","400.60","400.60","406.39","523.00","270.00","21,757","88,41,850.90","668"
"15-Jul-2024","BE","359.95","366.15","348.25","358.95","364.00","364.80","359.22","449.80","248.40","42,203","1,51,60,244.25","678"
