"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-Jul-2025","EQ","23.80","24.00","23.43","23.80","23.55","23.53","23.60","39.70","20.22","3,81,356","89,98,456.88","2,030"
"11-Jul-2025","EQ","24.00","24.20","23.60","24.05","23.87","23.80","23.88","42.59","20.22","3,65,920","87,38,042.42","1,850"
"10-Jul-2025","EQ","24.19","24.68","23.90","24.09","24.01","24.05","24.16","42.59","20.22","4,61,459","1,11,48,171.48","1,807"
"09-Jul-2025","EQ","24.18","24.74","24.00","24.06","24.00","24.09","24.18","42.59","20.22","3,06,772","74,18,622.14","1,365"
"08-Jul-2025","EQ","24.19","24.74","23.91","24.16","24.10","24.06","24.11","42.59","20.22","4,57,770","1,10,36,693.84","1,932"
"07-Jul-2025","EQ","24.38","24.67","24.10","24.39","24.27","24.16","24.27","42.59","20.22","3,89,709","94,56,595.84","1,585"
"04-Jul-2025","EQ","24.58","24.66","24.21","24.48","24.48","24.39","24.37","42.59","20.22","5,56,531","1,35,60,973.15","1,742"
"03-Jul-2025","EQ","24.76","24.88","24.40","24.77","24.57","24.48","24.65","42.59","20.22","4,10,309","1,01,12,846.07","1,883"
"02-Jul-2025","EQ","24.70","25.11","24.42","24.99","24.89","24.77","24.71","42.59","20.22","4,97,827","1,22,99,821.02","2,452"
"01-Jul-2025","EQ","25.03","25.45","24.85","25.02","25.00","24.99","25.04","42.59","20.22","3,89,658","97,57,937.42","1,855"
"30-Jun-2025","EQ","25.21","25.60","24.96","25.23","25.09","25.02","25.16","42.59","20.22","5,52,884","1,39,08,536.69","2,360"
"27-Jun-2025","EQ","25.69","25.88","25.20","25.52","25.27","25.23","25.38","42.59","20.22","3,30,389","83,84,708.78","1,919"
"26-Jun-2025","EQ","25.81","26.18","25.38","25.82","25.46","25.52","25.67","42.59","20.22","4,07,675","1,04,65,333.15","1,812"
"25-Jun-2025","EQ","25.15","26.05","25.15","25.04","25.85","25.82","25.79","42.59","20.22","4,89,890","1,26,36,068.70","2,843"
"24-Jun-2025","EQ","25.00","25.47","24.89","24.58","24.91","25.04","25.16","42.59","20.22","4,02,808","1,01,33,725.34","1,918"
"23-Jun-2025","EQ","24.29","24.75","24.06","24.53","24.73","24.58","24.43","42.59","20.22","3,59,693","87,88,411.40","2,073"
"20-Jun-2025","EQ","24.40","24.84","24.11","24.40","24.50","24.53","24.51","42.59","20.22","4,19,353","1,02,76,739.34","1,791"
"19-Jun-2025","EQ","25.30","25.42","24.18","25.12","24.22","24.40","24.60","42.59","20.22","4,86,851","1,19,78,090.49","2,806"
"18-Jun-2025","EQ","25.69","25.70","25.02","25.60","25.07","25.12","25.30","42.59","20.22","3,35,774","84,94,797.51","1,660"
"17-Jun-2025","EQ","25.78","26.85","25.34","25.68","25.55","25.60","26.15","42.59","20.22","10,08,482","2,63,69,853.41","5,295"
"16-Jun-2025","EQ","25.00","26.00","24.60","25.51","25.58","25.68","25.28","42.59","20.22","6,12,522","1,54,85,252.37","2,880"
"13-Jun-2025","EQ","25.05","25.94","25.05","25.91","25.60","25.51","25.54","42.59","20.22","5,24,923","1,34,06,872.48","2,588"
"12-Jun-2025","EQ","26.67","26.95","25.61","26.68","25.72","25.91","26.29","42.59","20.22","10,19,162","2,67,91,339.47","3,514"
"11-Jun-2025","EQ","26.74","27.40","26.22","26.56","26.67","26.68","26.79","42.59","20.22","7,79,725","2,08,92,328.51","3,465"
"10-Jun-2025","EQ","25.24","27.30","25.12","25.09","26.51","26.56","26.51","42.59","20.22","22,77,883","6,03,81,812.09","7,490"
"09-Jun-2025","EQ","24.72","25.38","24.72","24.68","25.16","25.09","25.08","42.59","20.22","5,63,382","1,41,29,718.45","1,886"
"06-Jun-2025","EQ","24.50","25.08","24.38","24.51","24.60","24.68","24.63","42.59","20.22","3,55,928","87,67,290.74","1,700"
"05-Jun-2025","EQ","24.76","25.44","24.43","24.79","24.58","24.51","24.83","42.59","20.22","4,18,113","1,03,81,024.48","2,216"
"04-Jun-2025","EQ","24.88","24.99","24.40","24.88","24.72","24.79","24.71","42.59","20.22","2,65,833","65,68,286.42","1,454"
"03-Jun-2025","EQ","25.06","25.56","24.80","25.18","24.80","24.88","25.17","42.59","20.22","3,11,162","78,30,649.76","1,430"
"02-Jun-2025","EQ","24.83","25.97","24.66","24.83","25.20","25.18","25.36","42.59","20.22","7,05,090","1,78,82,263.55","2,754"
"30-May-2025","EQ","25.05","25.19","24.75","25.03","24.90","24.83","24.90","42.59","20.22","2,92,226","72,76,065.44","1,634"
"29-May-2025","EQ","25.31","25.56","24.95","25.19","25.00","25.03","25.19","42.59","20.22","3,47,180","87,44,720.29","1,239"
"28-May-2025","EQ","24.93","25.55","24.93","25.04","25.29","25.19","25.25","42.59","20.22","3,93,177","99,27,845.93","1,455"
"27-May-2025","EQ","25.43","25.43","24.80","25.37","25.09","25.04","25.02","42.59","20.22","3,06,789","76,74,365.85","1,347"
"26-May-2025","EQ","25.12","25.60","25.12","25.24","25.46","25.37","25.40","42.59","20.22","2,95,797","75,13,045.95","1,862"
"23-May-2025","EQ","24.85","25.47","24.62","24.79","25.35","25.24","25.14","42.59","20.22","4,66,376","1,17,23,004.98","2,100"
"22-May-2025","EQ","25.00","25.22","24.50","25.10","24.82","24.79","24.83","42.59","20.22","3,66,009","90,86,975.52","1,846"
"21-May-2025","EQ","25.26","25.31","24.81","25.26","25.18","25.10","25.08","42.59","20.22","2,73,388","68,56,765.41","1,450"
"20-May-2025","EQ","25.34","25.76","25.06","25.29","25.30","25.26","25.42","42.59","20.22","5,67,533","1,44,27,666.02","2,678"
"19-May-2025","EQ","25.40","26.20","25.11","25.47","25.43","25.29","25.54","42.59","20.22","9,11,102","2,32,72,707.93","4,122"
"16-May-2025","EQ","26.30","26.45","25.28","26.16","25.54","25.47","25.58","42.59","20.22","9,65,541","2,46,98,273.45","4,599"
"15-May-2025","EQ","26.60","27.45","25.77","24.58","26.15","26.16","26.43","42.59","20.22","23,36,754","6,17,60,840.19","9,653"
"14-May-2025","EQ","24.44","24.67","24.06","24.25","24.60","24.58","24.46","42.59","20.22","6,04,563","1,47,88,423.97","2,707"
"13-May-2025","EQ","23.96","24.50","23.72","23.79","24.35","24.25","24.16","42.59","20.22","4,46,766","1,07,94,334.75","2,426"
"12-May-2025","EQ","23.00","23.99","23.00","22.55","23.83","23.79","23.67","42.59","20.22","5,33,448","1,26,26,724.08","3,340"
"09-May-2025","EQ","21.88","24.60","21.67","22.21","23.05","22.55","22.22","42.59","20.22","7,25,474","1,61,20,518.91","3,397"
"08-May-2025","EQ","22.57","22.86","22.01","22.49","22.01","22.21","22.51","42.59","20.22","2,73,439","61,55,755.78","1,671"
"07-May-2025","EQ","22.19","22.60","22.00","22.55","22.57","22.49","22.35","42.59","20.22","3,98,531","89,08,936.04","2,049"
"06-May-2025","EQ","23.27","23.37","22.49","23.26","22.60","22.55","22.80","42.59","20.22","2,10,701","48,03,384.72","1,669"
"05-May-2025","EQ","23.46","23.71","22.89","23.28","23.34","23.26","23.34","42.59","20.22","3,20,798","74,86,570.36","2,094"
"02-May-2025","EQ","23.13","24.80","22.61","23.13","23.49","23.28","23.83","42.59","20.22","5,82,786","1,38,86,848.07","2,235"
"30-Apr-2025","EQ","23.54","23.78","22.81","23.77","22.95","23.13","23.16","42.59","20.22","4,22,964","97,96,711.72","1,949"
"29-Apr-2025","EQ","23.52","24.45","23.52","23.73","23.70","23.77","23.87","42.59","20.22","3,60,565","86,08,039.19","1,577"
"28-Apr-2025","EQ","23.61","24.07","23.34","23.83","23.70","23.73","23.78","42.59","20.22","3,76,018","89,40,628.83","1,443"
"25-Apr-2025","EQ","24.70","24.95","23.50","24.83","23.60","23.83","23.95","42.59","20.22","8,40,854","2,01,42,333.68","2,825"
"24-Apr-2025","EQ","25.19","25.45","24.66","25.20","24.87","24.83","25.03","42.59","20.22","6,86,316","1,71,80,959.04","2,631"
"23-Apr-2025","EQ","23.80","25.77","23.12","23.47","25.20","25.20","24.75","42.59","20.22","29,60,207","7,32,75,486.28","7,212"
"22-Apr-2025","EQ","23.73","23.73","23.20","23.64","23.51","23.47","23.50","42.59","20.22","4,14,398","97,39,842.59","2,087"
"21-Apr-2025","EQ","22.44","24.32","22.16","22.25","23.64","23.64","23.40","42.59","20.22","12,06,942","2,82,47,755.08","4,850"
"17-Apr-2025","EQ","22.30","22.45","22.10","22.23","22.23","22.25","22.30","42.59","20.22","2,92,672","65,25,966.08","2,080"
"16-Apr-2025","EQ","22.00","22.57","21.99","21.99","22.35","22.23","22.31","42.59","20.22","3,97,521","88,69,551.30","1,791"
"15-Apr-2025","EQ","21.23","22.24","21.23","21.08","22.00","21.99","21.80","42.59","20.22","5,87,928","1,28,16,876.09","2,418"
"11-Apr-2025","EQ","21.75","21.98","20.99","21.42","21.24","21.08","21.42","45.45","20.22","6,29,134","1,34,76,247.53","2,128"
"09-Apr-2025","EQ","21.25","21.60","20.96","21.45","21.60","21.42","21.24","45.45","20.22","2,20,986","46,93,145.65","1,228"
"08-Apr-2025","EQ","21.22","21.52","20.86","20.78","21.51","21.45","21.25","45.45","20.22","3,25,148","69,08,595.31","1,673"
"07-Apr-2025","EQ","21.48","21.54","20.22","22.20","20.65","20.78","20.64","45.45","20.22","8,83,598","1,82,35,234.95","3,920"
"04-Apr-2025","EQ","22.85","22.90","22.09","22.85","22.29","22.20","22.26","46.00","21.06","4,51,933","1,00,59,196.19","1,471"
"03-Apr-2025","EQ","22.48","22.95","22.16","22.55","22.94","22.85","22.72","46.00","21.06","4,80,625","1,09,18,218.35","1,735"
"02-Apr-2025","EQ","21.85","22.60","21.56","21.83","22.56","22.55","22.13","46.00","21.06","5,72,986","1,26,81,862.09","1,989"
"01-Apr-2025","EQ","21.15","21.95","21.06","21.15","21.95","21.83","21.62","46.00","21.06","6,79,150","1,46,84,103.78","2,074"
"28-Mar-2025","EQ","22.00","22.76","21.10","21.98","21.20","21.15","21.54","46.00","21.10","13,13,429","2,82,94,331.60","3,958"
"27-Mar-2025","EQ","21.65","22.39","21.10","21.67","22.06","21.98","21.65","46.00","21.10","21,72,124","4,70,22,932.80","5,060"
"26-Mar-2025","EQ","22.99","22.99","21.54","22.50","21.65","21.67","22.06","46.00","21.54","17,82,678","3,93,23,572.58","4,540"
"25-Mar-2025","EQ","23.85","24.03","22.25","23.72","22.66","22.50","22.89","46.00","21.60","14,59,265","3,34,08,672.31","4,278"
"24-Mar-2025","EQ","23.00","24.10","23.00","22.92","23.80","23.72","23.67","46.00","21.60","13,33,685","3,15,72,257.75","3,949"
"21-Mar-2025","EQ","22.79","23.35","22.50","22.66","23.00","22.92","22.96","46.00","21.60","13,35,523","3,06,57,847.06","4,423"
"20-Mar-2025","EQ","22.90","23.64","22.62","22.76","22.71","22.66","22.96","46.00","21.60","9,00,936","2,06,83,942.34","3,335"
"19-Mar-2025","EQ","22.20","23.18","22.19","22.13","22.92","22.76","22.57","46.00","21.60","17,99,506","4,06,17,539.01","5,795"
"18-Mar-2025","EQ","22.11","22.84","22.00","22.02","22.19","22.13","22.29","46.00","21.60","14,98,160","3,33,93,361.42","4,654"
"17-Mar-2025","EQ","22.28","22.74","22.00","22.28","22.04","22.02","22.20","46.00","21.60","7,88,078","1,74,98,579.06","2,616"
"13-Mar-2025","EQ","22.57","22.80","22.12","22.56","22.38","22.28","22.40","46.50","21.60","5,63,276","1,26,16,371.06","2,874"
"12-Mar-2025","EQ","23.05","23.24","22.42","22.83","22.50","22.56","22.70","46.50","21.60","5,92,075","1,34,41,140.43","3,744"
"11-Mar-2025","EQ","23.11","23.32","21.60","23.46","22.75","22.83","22.90","46.50","21.60","6,22,280","1,42,48,074.35","2,564"
"10-Mar-2025","EQ","24.41","24.75","23.20","24.45","23.44","23.46","23.79","46.50","22.50","6,10,088","1,45,15,611.39","2,389"
"07-Mar-2025","EQ","24.30","24.85","24.30","24.33","24.60","24.45","24.60","49.90","22.50","4,92,333","1,21,10,383.14","2,033"
"06-Mar-2025","EQ","24.20","24.93","24.00","23.78","24.40","24.33","24.52","49.90","22.50","6,26,232","1,53,52,118.92","3,384"
"05-Mar-2025","EQ","23.00","24.42","23.00","23.01","23.90","23.78","23.86","49.90","22.50","10,32,488","2,46,39,623.21","5,110"
"04-Mar-2025","EQ","22.70","24.09","22.52","22.93","23.11","23.01","23.40","49.90","22.50","7,98,580","1,86,84,256.87","3,470"
"03-Mar-2025","EQ","23.50","23.95","22.50","23.73","22.85","22.93","22.98","49.90","22.50","8,48,086","1,94,92,116.52","5,831"
"28-Feb-2025","EQ","24.94","24.94","23.54","24.59","23.94","23.73","23.88","53.00","23.54","6,93,741","1,65,68,984.02","3,829"
"27-Feb-2025","EQ","25.45","25.54","24.45","25.43","24.79","24.59","24.82","53.00","24.30","3,55,850","88,31,211.82","2,198"
"25-Feb-2025","EQ","25.30","25.86","25.15","25.70","25.18","25.43","25.57","53.00","24.30","3,16,650","80,98,289.06","2,513"
"24-Feb-2025","EQ","25.67","25.88","24.98","25.67","25.84","25.70","25.44","53.00","24.30","4,20,411","1,06,96,129.60","2,402"
"21-Feb-2025","EQ","26.09","26.88","25.01","26.09","25.01","25.67","26.10","54.15","24.30","5,99,585","1,56,46,714.89","3,366"
"20-Feb-2025","EQ","25.53","26.20","25.22","25.53","26.05","26.09","25.83","54.15","24.30","4,31,919","1,11,54,414.45","2,617"
"19-Feb-2025","EQ","24.40","25.70","24.34","24.53","25.50","25.53","25.34","54.15","24.30","5,28,690","1,33,95,936.15","2,787"
"18-Feb-2025","EQ","25.37","25.74","24.30","25.37","24.40","24.53","24.72","54.15","24.30","6,91,468","1,70,94,318.75","4,379"
"17-Feb-2025","EQ","26.05","26.35","25.15","26.13","25.48","25.37","25.57","54.15","25.05","8,54,709","2,18,53,116.87","4,576"
"14-Feb-2025","EQ","27.25","27.25","25.94","26.96","26.16","26.13","26.36","55.50","25.05","6,54,285","1,72,45,944.10","4,151"
"13-Feb-2025","EQ","27.05","27.70","26.81","27.07","26.92","26.96","27.27","55.50","25.05","3,59,843","98,12,854.54","2,299"
"12-Feb-2025","EQ","27.70","27.94","26.00","27.54","27.17","27.07","26.92","55.50","25.05","10,12,688","2,72,65,073.68","6,389"
