"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-Jul-2025","EQ","126.90","126.92","125.65","126.98","126.00","126.07","126.25","233.80","103.40","1,56,180","1,97,17,727.42","3,309"
"11-Jul-2025","EQ","127.69","128.50","126.00","127.78","126.40","126.98","126.96","233.80","103.40","2,53,660","3,22,05,525.04","3,992"
"10-Jul-2025","EQ","128.88","129.51","126.56","127.90","127.70","127.78","127.85","233.80","103.40","2,79,249","3,57,03,015.96","4,402"
"09-Jul-2025","EQ","125.52","130.00","125.46","125.49","128.00","127.90","128.09","233.80","103.40","5,88,666","7,54,04,209.93","8,479"
"08-Jul-2025","EQ","126.36","128.20","124.01","126.36","125.46","125.49","126.02","233.80","103.40","3,07,107","3,87,00,687.40","5,776"
"07-Jul-2025","EQ","128.93","129.45","125.64","129.05","126.60","126.36","127.36","233.80","103.40","3,63,752","4,63,26,224.98","5,395"
"04-Jul-2025","EQ","130.09","130.88","127.81","130.00","129.01","129.05","129.14","233.80","102.27","3,21,827","4,15,59,755.89","4,897"
"03-Jul-2025","EQ","129.29","130.48","127.79","128.40","130.10","130.00","129.18","233.80","102.27","3,58,340","4,62,90,976.69","5,489"
"02-Jul-2025","EQ","131.50","132.10","127.99","131.50","128.39","128.40","129.37","233.80","102.27","5,32,265","6,88,61,355.19","6,763"
"01-Jul-2025","EQ","130.90","132.57","130.33","130.65","131.30","131.50","131.39","233.80","102.27","2,96,198","3,89,18,384.24","4,512"
"30-Jun-2025","EQ","132.25","133.85","129.89","131.29","130.69","130.65","131.51","233.80","102.27","4,82,391","6,34,38,559.44","5,382"
"27-Jun-2025","EQ","131.50","132.50","131.00","131.50","131.88","131.29","131.82","233.80","101.32","3,49,309","4,60,47,021.94","4,766"
"26-Jun-2025","EQ","132.00","133.30","130.60","131.56","131.90","131.50","131.69","233.80","101.32","3,74,347","4,92,98,158.95","7,207"
"25-Jun-2025","EQ","128.05","132.20","128.05","127.76","131.95","131.56","130.73","233.80","101.32","6,97,529","9,11,89,054.12","8,369"
"24-Jun-2025","EQ","130.00","130.00","127.12","126.67","127.40","127.76","128.21","233.80","101.32","5,34,988","6,85,88,456.05","7,156"
"23-Jun-2025","EQ","124.81","127.32","124.22","125.61","126.58","126.67","126.35","233.80","101.32","3,05,605","3,86,14,291.98","5,218"
"20-Jun-2025","EQ","127.52","128.60","124.95","127.52","125.83","125.61","126.27","233.80","100.96","9,81,138","12,38,84,171.79","14,076"
"19-Jun-2025","EQ","130.50","131.99","126.34","130.42","126.70","127.52","128.75","233.80","100.96","4,37,903","5,63,81,970.67","7,151"
"18-Jun-2025","EQ","133.50","133.99","130.01","133.46","130.10","130.42","131.73","233.80","100.96","4,95,588","6,52,82,539.33","6,752"
"17-Jun-2025","EQ","133.75","137.89","132.55","133.12","132.95","133.46","135.02","233.80","100.96","6,91,655","9,33,86,917.30","9,199"
"16-Jun-2025","EQ","135.15","136.23","129.75","134.14","133.11","133.12","132.04","233.80","100.96","6,63,851","8,76,57,475.13","9,304"
"13-Jun-2025","EQ","134.49","136.32","133.01","136.03","134.20","134.14","134.51","233.80","100.96","6,89,867","9,27,95,905.65","10,088"
"12-Jun-2025","EQ","139.98","142.69","135.10","139.77","136.64","136.03","138.57","233.80","100.96","9,83,544","13,62,89,210.55","12,945"
"11-Jun-2025","EQ","144.90","145.90","138.31","142.48","139.70","139.77","143.04","233.80","100.96","24,06,824","34,42,76,742.42","22,497"
"10-Jun-2025","EQ","137.20","144.00","135.76","136.26","143.60","142.48","142.12","233.80","100.96","34,17,720","48,57,41,499.66","32,964"
"09-Jun-2025","EQ","135.60","138.00","135.10","134.71","136.31","136.26","136.56","233.80","100.96","5,13,347","7,01,01,393.35","7,204"
"06-Jun-2025","EQ","137.00","137.40","134.56","136.18","134.90","134.71","135.37","233.80","90.55","3,67,177","4,97,03,905.29","5,221"
"05-Jun-2025","EQ","134.07","137.74","133.90","133.53","136.30","136.18","136.73","233.80","90.55","5,42,786","7,42,17,134.68","8,341"
"04-Jun-2025","EQ","134.83","135.51","132.99","134.83","133.85","133.53","133.76","233.80","90.55","4,09,675","5,47,98,981.00","5,241"
"03-Jun-2025","EQ","138.00","138.80","134.34","137.35","135.00","134.83","136.37","233.80","90.55","3,62,748","4,94,66,425.30","4,531"
"02-Jun-2025","EQ","136.49","137.94","134.00","136.02","137.41","137.35","136.61","233.80","90.55","5,24,621","7,16,67,945.85","6,331"
"30-May-2025","EQ","137.80","138.07","134.23","137.43","135.90","136.02","135.91","233.80","90.55","4,18,539","5,68,82,987.06","5,895"
"29-May-2025","EQ","137.80","140.95","137.00","136.68","137.75","137.43","138.65","233.80","90.55","7,74,342","10,73,62,957.11","8,050"
"28-May-2025","EQ","136.39","139.75","136.34","136.02","136.90","136.68","137.74","233.80","90.55","6,02,075","8,29,27,888.31","6,466"
"27-May-2025","EQ","136.69","137.89","135.20","136.15","136.10","136.02","136.16","233.80","90.55","4,96,193","6,75,62,003.64","5,211"
"26-May-2025","EQ","138.70","139.25","136.00","137.27","136.20","136.15","137.39","233.80","90.55","4,45,075","6,11,49,492.07","5,426"
"23-May-2025","EQ","135.95","138.00","134.02","135.31","137.20","137.27","136.16","233.80","90.55","7,00,818","9,54,24,043.69","9,067"
"22-May-2025","EQ","134.50","138.59","134.08","134.96","135.80","135.31","136.19","233.80","90.55","6,93,112","9,43,92,514.48","7,696"
"21-May-2025","EQ","135.60","135.90","133.21","134.96","134.90","134.96","134.83","233.80","90.55","4,47,998","6,04,02,790.07","5,833"
"20-May-2025","EQ","140.15","141.57","134.30","139.47","135.67","134.96","137.04","233.80","90.55","8,83,164","12,10,29,753.39","9,123"
"19-May-2025","EQ","140.35","142.80","137.79","139.35","140.00","139.47","140.45","233.80","90.55","12,57,328","17,65,87,333.39","15,762"
"16-May-2025","EQ","140.40","141.78","138.45","139.29","139.30","139.35","139.90","233.80","90.55","8,49,345","11,88,24,431.03","11,612"
"15-May-2025","EQ","137.95","143.21","137.64","137.01","139.10","139.29","140.58","233.80","90.55","19,46,005","27,35,65,089.99","21,351"
"14-May-2025","EQ","137.97","139.00","136.05","137.02","136.83","137.01","137.45","233.80","90.55","9,08,507","12,48,76,182.63","11,120"
"13-May-2025","EQ","137.16","140.95","134.46","136.47","136.11","137.02","138.07","233.80","90.55","29,34,743","40,51,88,584.15","28,453"
"12-May-2025","EQ","134.30","138.00","133.80","129.09","136.90","136.47","136.05","233.80","90.55","19,35,765","26,33,69,558.57","18,508"
"09-May-2025","EQ","125.99","129.97","124.30","128.08","129.95","129.09","127.03","233.80","90.55","9,15,771","11,63,27,947.44","10,855"
"08-May-2025","EQ","131.85","135.00","127.00","130.37","127.00","128.08","131.85","233.80","90.55","9,99,379","13,17,65,849.66","12,799"
"07-May-2025","EQ","126.50","131.49","126.10","128.57","130.70","130.37","129.70","233.80","90.55","10,37,773","13,46,00,517.40","11,118"
"06-May-2025","EQ","135.49","137.11","127.35","134.97","128.70","128.57","132.32","233.80","90.55","10,40,267","13,76,50,555.87","11,998"
"05-May-2025","EQ","133.45","136.07","131.41","132.48","135.50","134.97","134.15","233.80","90.55","10,27,286","13,78,08,235.53","10,986"
"02-May-2025","EQ","129.48","138.33","129.34","129.53","131.80","132.48","134.46","233.80","90.55","27,78,776","37,36,23,193.17","29,973"
"30-Apr-2025","EQ","132.89","134.29","128.35","132.80","129.00","129.53","131.66","233.80","90.55","8,53,236","11,23,38,481.67","10,013"
"29-Apr-2025","EQ","134.55","137.64","132.29","134.49","133.40","132.80","134.24","233.80","90.55","7,76,204","10,41,95,215.74","8,456"
"28-Apr-2025","EQ","136.21","137.85","133.54","136.22","134.60","134.49","135.77","233.80","90.55","13,13,942","17,83,96,589.89","13,554"
"25-Apr-2025","EQ","144.00","144.52","134.50","144.50","135.09","136.22","138.85","233.80","90.55","24,38,942","33,86,49,119.85","19,999"
"24-Apr-2025","EQ","143.80","148.50","142.66","145.61","143.88","144.50","145.82","233.80","90.55","44,36,790","64,69,63,339.09","29,042"
"23-Apr-2025","EQ","129.80","150.75","129.44","128.54","143.81","145.61","142.99","233.80","90.55","1,74,47,022","2,49,47,01,836.12","1,12,535"
"22-Apr-2025","EQ","131.79","132.90","128.00","131.27","128.60","128.54","129.98","233.80","90.55","10,47,067","13,60,97,914.58","9,636"
"21-Apr-2025","EQ","134.00","136.00","130.52","130.67","131.03","131.27","132.29","233.80","90.55","20,08,423","26,56,98,846.82","15,669"
"17-Apr-2025","EQ","126.50","135.60","125.10","127.03","130.70","130.67","131.44","233.80","90.55","23,98,915","31,53,13,594.14","25,268"
"16-Apr-2025","EQ","124.50","128.00","123.14","124.60","127.51","127.03","125.60","233.80","90.55","6,95,784","8,73,93,873.27","9,093"
"15-Apr-2025","EQ","119.48","126.95","118.44","115.97","124.00","124.60","123.53","233.80","90.55","13,06,545","16,14,00,824.01","14,736"
"11-Apr-2025","EQ","111.00","117.00","110.79","108.84","117.00","115.97","114.30","233.80","90.55","10,76,193","12,30,07,688.38","13,725"
"09-Apr-2025","EQ","111.52","111.94","107.87","112.49","108.55","108.84","109.29","233.80","90.55","3,97,529","4,34,46,779.69","6,452"
"08-Apr-2025","EQ","112.00","114.72","108.65","108.36","112.10","112.49","111.29","233.80","90.55","6,30,723","7,01,91,785.16","7,491"
"07-Apr-2025","EQ","106.00","109.60","104.14","115.75","109.50","108.36","106.97","233.80","90.55","10,86,456","11,62,19,452.15","14,466"
"04-Apr-2025","EQ","124.20","124.75","113.61","125.16","116.00","115.75","117.74","233.80","90.55","11,41,187","13,43,60,955.24","13,597"
"03-Apr-2025","EQ","121.90","126.80","121.55","123.35","125.15","125.16","125.09","233.80","90.55","4,60,761","5,76,35,975.57","6,187"
"02-Apr-2025","EQ","125.19","125.19","121.08","124.22","123.13","123.35","122.99","233.80","90.55","5,81,943","7,15,75,600.61","8,942"
"01-Apr-2025","EQ","121.10","125.33","121.10","122.74","124.31","124.22","123.62","233.80","90.55","4,60,019","5,68,69,761.60","5,741"
"28-Mar-2025","EQ","125.32","130.69","121.51","126.90","123.55","122.74","125.40","233.80","90.55","13,33,754","16,72,46,915.84","14,527"
"27-Mar-2025","EQ","121.00","128.40","120.06","121.22","125.51","126.90","124.95","233.80","90.55","16,52,755","20,65,14,805.58","18,692"
"26-Mar-2025","EQ","125.16","127.03","120.75","125.47","121.12","121.22","123.89","233.80","90.55","6,13,684","7,60,29,460.45","7,368"
