"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-Jul-2025","EQ","1,158.80","1,158.80","1,132.60","1,159.10","1,145.20","1,146.50","1,144.99","1,645.00","725.00","12,065","1,38,14,332.10","2,641"
"11-Jul-2025","EQ","1,163.00","1,180.80","1,152.50","1,181.40","1,155.20","1,159.10","1,163.21","1,645.00","725.00","14,164","1,64,75,732.50","1,772"
"10-Jul-2025","EQ","1,179.80","1,197.00","1,171.90","1,169.70","1,176.00","1,181.40","1,181.29","1,645.00","725.00","19,648","2,32,10,054.90","2,506"
"09-Jul-2025","EQ","1,163.00","1,178.90","1,162.50","1,161.00","1,163.00","1,169.70","1,169.20","1,645.00","725.00","10,430","1,21,94,772.00","1,607"
"08-Jul-2025","EQ","1,176.50","1,184.80","1,152.30","1,179.80","1,162.50","1,161.00","1,163.24","1,645.00","725.00","19,301","2,24,51,613.70","2,911"
"07-Jul-2025","EQ","1,202.50","1,206.80","1,173.00","1,199.20","1,176.50","1,179.80","1,185.72","1,645.00","725.00","21,657","2,56,79,132.10","3,541"
"04-Jul-2025","EQ","1,178.30","1,213.60","1,168.00","1,167.20","1,195.20","1,199.20","1,192.92","1,645.00","725.00","38,345","4,57,42,555.40","5,280"
"03-Jul-2025","EQ","1,173.80","1,185.00","1,162.20","1,173.80","1,164.40","1,167.20","1,167.42","1,645.00","725.00","13,353","1,55,88,494.10","1,804"
"02-Jul-2025","EQ","1,187.80","1,191.30","1,165.70","1,187.80","1,170.00","1,173.80","1,177.83","1,645.00","725.00","13,309","1,56,75,757.70","2,511"
"01-Jul-2025","EQ","1,199.90","1,201.30","1,173.00","1,192.50","1,189.20","1,187.80","1,184.33","1,645.00","725.00","16,450","1,94,82,151.90","2,834"
"30-Jun-2025","EQ","1,180.20","1,204.20","1,180.20","1,174.40","1,194.80","1,192.50","1,191.00","1,645.00","725.00","26,393","3,14,33,956.90","4,634"
"27-Jun-2025","EQ","1,202.50","1,202.50","1,170.00","1,184.70","1,189.90","1,174.40","1,182.13","1,645.00","725.00","18,265","2,15,91,695.70","3,065"
"26-Jun-2025","EQ","1,193.30","1,205.20","1,173.10","1,182.50","1,182.00","1,184.70","1,185.53","1,645.00","725.00","14,733","1,74,66,427.60","2,142"
"25-Jun-2025","EQ","1,170.10","1,186.20","1,164.10","1,163.40","1,184.90","1,182.50","1,177.82","1,645.00","725.00","15,833","1,86,48,453.70","2,299"
"24-Jun-2025","EQ","1,174.00","1,242.40","1,154.30","1,162.00","1,163.00","1,163.40","1,197.20","1,645.00","725.00","71,660","8,57,91,558.70","10,645"
"23-Jun-2025","EQ","1,121.60","1,168.80","1,121.60","1,146.20","1,163.90","1,162.00","1,152.10","1,645.00","725.00","22,189","2,55,63,875.00","2,506"
"20-Jun-2025","EQ","1,159.70","1,168.90","1,135.40","1,147.10","1,151.00","1,146.20","1,150.57","1,645.00","725.00","28,059","3,22,83,888.10","3,926"
"19-Jun-2025","EQ","1,183.60","1,193.90","1,140.50","1,179.90","1,152.00","1,147.10","1,163.30","1,645.00","725.00","26,332","3,06,32,099.30","3,100"
"18-Jun-2025","EQ","1,203.80","1,220.00","1,172.60","1,191.70","1,177.20","1,179.90","1,189.16","1,645.00","725.00","20,789","2,47,21,506.00","2,440"
"17-Jun-2025","EQ","1,188.00","1,223.00","1,178.00","1,185.30","1,193.90","1,191.70","1,201.40","1,645.00","725.00","31,669","3,80,47,251.20","3,836"
"16-Jun-2025","EQ","1,188.50","1,199.60","1,154.30","1,182.80","1,183.30","1,185.30","1,171.37","1,645.00","725.00","31,888","3,73,52,802.90","3,959"
"13-Jun-2025","EQ","1,193.70","1,204.60","1,175.00","1,209.20","1,191.00","1,182.80","1,187.88","1,645.00","725.00","31,349","3,72,38,795.90","3,271"
"12-Jun-2025","EQ","1,239.00","1,246.30","1,196.00","1,233.80","1,217.00","1,209.20","1,218.40","1,645.00","725.00","27,778","3,38,44,833.10","3,636"
