"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-Jul-2025","EQ","1,448.00","1,457.10","1,411.90","1,440.40","1,424.40","1,421.60","1,427.22","2,399.80","1,276.00","7,879","1,12,45,095.70","1,973"
"11-Jul-2025","EQ","1,457.00","1,469.90","1,435.00","1,456.60","1,435.00","1,440.40","1,448.84","2,399.80","1,276.00","9,370","1,35,75,670.30","1,466"
"10-Jul-2025","EQ","1,462.90","1,492.00","1,452.00","1,455.20","1,452.20","1,456.60","1,469.11","2,399.80","1,276.00","8,431","1,23,86,085.50","2,143"
"09-Jul-2025","EQ","1,478.10","1,479.90","1,449.80","1,470.40","1,465.00","1,455.20","1,460.16","2,399.80","1,276.00","7,054","1,02,99,958.40","1,107"
"08-Jul-2025","EQ","1,472.10","1,496.60","1,459.80","1,485.60","1,474.70","1,470.40","1,472.79","2,399.80","1,276.00","8,116","1,19,53,196.40","1,744"
"07-Jul-2025","EQ","1,471.00","1,495.00","1,468.10","1,477.70","1,471.00","1,485.60","1,482.42","2,399.80","1,276.00","7,822","1,15,95,484.00","1,443"
"04-Jul-2025","EQ","1,488.70","1,519.60","1,465.10","1,501.00","1,471.50","1,477.70","1,486.22","2,399.80","1,276.00","20,846","3,09,81,802.90","2,189"
"03-Jul-2025","EQ","1,455.00","1,517.70","1,446.00","1,457.20","1,495.00","1,501.00","1,494.11","2,399.80","1,276.00","29,629","4,42,68,879.40","3,837"
"02-Jul-2025","EQ","1,467.10","1,490.00","1,451.20","1,467.10","1,455.00","1,457.20","1,466.89","2,399.80","1,276.00","10,635","1,56,00,328.80","1,342"
"01-Jul-2025","EQ","1,465.80","1,486.10","1,460.70","1,465.80","1,470.00","1,467.10","1,471.37","2,399.80","1,276.00","9,635","1,41,76,673.80","1,589"
"30-Jun-2025","EQ","1,446.00","1,488.90","1,432.20","1,438.40","1,470.00","1,465.80","1,463.33","2,399.80","1,276.00","18,806","2,75,19,381.60","2,704"
"27-Jun-2025","EQ","1,442.10","1,449.00","1,429.00","1,442.10","1,432.00","1,438.40","1,437.36","2,399.80","1,276.00","6,042","86,84,502.30","910"
"26-Jun-2025","EQ","1,448.70","1,455.00","1,420.10","1,441.10","1,455.00","1,442.10","1,433.37","2,399.80","1,276.00","8,004","1,14,72,718.80","1,410"
"25-Jun-2025","EQ","1,428.90","1,445.00","1,418.00","1,418.70","1,426.50","1,441.10","1,432.41","2,399.80","1,276.00","13,389","1,91,78,547.60","1,880"
"24-Jun-2025","EQ","1,395.90","1,469.30","1,395.90","1,395.90","1,405.50","1,418.70","1,429.00","2,399.80","1,276.00","19,216","2,74,59,597.60","3,342"
"23-Jun-2025","EQ","1,374.60","1,402.00","1,374.60","1,395.40","1,392.20","1,395.90","1,394.71","2,399.80","1,276.00","8,532","1,18,99,659.20","1,022"
"20-Jun-2025","EQ","1,416.00","1,440.50","1,390.00","1,424.80","1,393.00","1,395.40","1,403.96","2,399.80","1,276.00","18,344","2,57,54,257.50","3,078"
"19-Jun-2025","EQ","1,426.90","1,448.00","1,394.50","1,425.50","1,417.90","1,424.80","1,413.31","2,399.80","1,276.00","12,587","1,77,89,287.10","2,477"
"18-Jun-2025","EQ","1,448.70","1,452.00","1,415.00","1,434.40","1,421.00","1,425.50","1,429.42","2,399.80","1,276.00","11,625","1,66,17,017.50","2,158"
"17-Jun-2025","EQ","1,452.30","1,472.90","1,428.10","1,445.10","1,435.00","1,434.40","1,451.31","2,399.80","1,276.00","19,388","2,81,38,072.60","3,522"
"16-Jun-2025","EQ","1,468.00","1,483.10","1,423.30","1,464.40","1,445.60","1,445.10","1,447.95","2,399.80","1,276.00","30,887","4,47,22,965.40","4,891"
"13-Jun-2025","EQ","1,471.10","1,487.90","1,439.90","1,486.50","1,468.00","1,464.40","1,463.52","2,399.80","1,276.00","38,447","5,62,67,941.80","5,898"
"12-Jun-2025","EQ","1,484.10","1,509.00","1,443.10","1,469.40","1,485.00","1,486.50","1,478.12","2,399.80","1,276.00","36,692","5,42,35,008.00","5,498"
"11-Jun-2025","EQ","1,463.00","1,494.00","1,456.00","1,475.00","1,473.00","1,469.40","1,473.50","2,399.80","1,276.00","19,283","2,84,13,414.60","3,194"
"10-Jun-2025","EQ","1,474.00","1,545.00","1,469.90","1,476.00","1,476.00","1,475.00","1,501.94","2,399.80","1,276.00","45,543","6,84,02,719.50","5,698"
"09-Jun-2025","EQ","1,461.50","1,497.00","1,461.00","1,461.50","1,470.00","1,476.00","1,481.81","2,399.80","1,276.00","14,154","2,09,73,502.80","2,225"
"06-Jun-2025","EQ","1,481.90","1,497.90","1,452.00","1,475.20","1,463.50","1,461.50","1,470.63","2,399.80","1,276.00","10,583","1,55,63,648.20","2,046"
"05-Jun-2025","EQ","1,480.00","1,494.30","1,467.80","1,481.60","1,473.00","1,475.20","1,477.61","2,399.80","1,276.00","10,456","1,54,49,928.50","1,446"
"04-Jun-2025","EQ","1,500.00","1,509.10","1,474.70","1,509.10","1,487.50","1,481.60","1,487.85","2,399.80","1,276.00","12,890","1,91,78,425.80","1,902"
"03-Jun-2025","EQ","1,530.00","1,530.50","1,505.50","1,529.20","1,510.00","1,509.10","1,515.30","2,399.80","1,276.00","5,796","87,82,692.90","1,322"
"02-Jun-2025","EQ","1,537.90","1,548.70","1,512.10","1,530.30","1,515.00","1,529.20","1,529.15","2,399.80","1,276.00","9,483","1,45,00,934.30","1,702"
"30-May-2025","EQ","1,502.90","1,559.90","1,497.80","1,495.00","1,527.50","1,530.30","1,547.53","2,399.80","1,276.00","42,993","6,65,32,863.20","6,463"
"29-May-2025","EQ","1,512.20","1,517.90","1,483.00","1,512.20","1,496.70","1,495.00","1,492.92","2,399.80","1,276.00","13,429","2,00,48,432.20","1,953"
