"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-Jul-2025","EQ","95.83","96.50","94.20","95.83","96.04","96.25","95.36","142.95","79.44","1,11,710","1,06,53,041.79","2,323"
"11-Jul-2025","EQ","97.90","98.38","95.30","99.51","95.87","95.83","96.31","142.95","79.44","1,73,345","1,66,95,339.33","3,330"
"10-Jul-2025","EQ","99.99","101.80","99.11","99.82","99.70","99.51","100.22","142.95","79.44","2,29,535","2,30,03,049.98","3,587"
"09-Jul-2025","EQ","99.95","100.59","99.32","99.56","100.24","99.82","99.87","142.95","79.44","1,33,150","1,32,97,099.13","2,298"
"08-Jul-2025","EQ","99.50","100.69","99.12","99.36","99.65","99.56","99.59","142.95","79.44","1,27,402","1,26,87,398.55","1,806"
"07-Jul-2025","EQ","99.01","101.30","99.01","99.75","99.01","99.36","99.89","142.95","79.44","1,40,554","1,40,39,571.26","2,555"
"04-Jul-2025","EQ","99.40","101.50","98.77","98.63","100.00","99.75","100.09","142.95","79.44","1,96,519","1,96,69,974.43","3,874"
"03-Jul-2025","EQ","99.60","100.00","98.40","99.29","99.50","98.63","99.16","142.95","79.44","1,22,339","1,21,30,642.76","2,224"
"02-Jul-2025","EQ","99.19","100.20","98.38","98.71","99.49","99.29","99.11","142.95","79.44","1,20,277","1,19,20,322.03","2,811"
"01-Jul-2025","EQ","99.00","100.00","98.20","98.55","98.85","98.71","98.89","142.95","79.44","1,11,984","1,10,73,962.15","2,299"
"30-Jun-2025","EQ","98.68","99.30","97.70","98.67","98.50","98.55","98.43","142.95","79.44","99,225","97,66,822.43","2,379"
"27-Jun-2025","EQ","98.00","99.40","97.47","97.14","98.50","98.67","98.33","142.95","79.44","1,58,145","1,55,50,716.05","2,764"
"26-Jun-2025","EQ","98.34","99.00","96.11","97.97","97.50","97.14","97.68","142.95","79.44","1,39,143","1,35,90,920.35","2,746"
"25-Jun-2025","EQ","96.00","98.45","95.51","95.47","97.87","97.97","97.58","142.95","79.44","1,06,509","1,03,93,553.50","2,570"
"24-Jun-2025","EQ","95.93","96.80","94.92","94.86","95.00","95.47","95.82","142.95","79.44","86,042","82,44,426.36","2,172"
"23-Jun-2025","EQ","94.29","95.73","93.36","94.38","94.65","94.86","94.56","142.95","79.44","1,44,834","1,36,95,307.48","3,647"
"20-Jun-2025","EQ","93.50","95.37","93.36","93.44","95.00","94.38","94.33","142.95","79.44","1,09,207","1,03,01,650.29","2,759"
"19-Jun-2025","EQ","96.59","96.71","92.96","96.23","93.80","93.44","94.53","142.95","79.44","1,51,159","1,42,88,630.82","3,685"
"18-Jun-2025","EQ","96.75","98.42","95.71","97.12","96.39","96.23","96.89","142.95","79.44","1,19,478","1,15,75,746.06","2,088"
"17-Jun-2025","EQ","98.00","99.73","96.70","97.75","97.28","97.12","97.82","142.95","79.44","83,579","81,75,567.47","2,054"
