,Date,Spread,Rolling Mean,Rolling Std,Z-Score,Buy Signal,Sell Signal,Exit Signal,Signal
20,2024-07-15,848.15,1058.825,75.94437017390514,-2.774070013584615,True,False,False,Exit: Spread reverted to mean on 2024-07-15
19,2025-06-17,1106.85,1080.105,18.25772971769725,1.4648590166211035,False,True,False,Hold
18,2025-06-18,1102.65,1074.3799999999999,17.912149818242046,1.5782583490458275,False,True,False,Hold
17,2025-06-19,1092.25,1069.275,16.147690753377102,1.422804062258559,False,True,False,Hold
16,2025-06-20,1090.4499999999998,1064.98,15.031119570929702,1.6944845578408525,False,True,False,Hold
15,2025-06-23,1079.4499999999998,1056.735,20.953944868582255,1.0840440853721123,False,True,False,Hold
14,2025-06-24,1069.1,1045.04,34.87779299847498,0.6898372268294602,False,False,False,Hold
13,2025-06-25,1083.65,1034.7649999999999,41.50718846711334,1.1777478023772294,False,True,False,Hold
12,2025-06-26,1061.75,1021.15,45.798319959482455,0.8864954006155388,False,False,False,Hold
11,2025-06-27,1053.95,1007.675,51.93744233851609,0.8909757184112085,False,False,False,Hold
10,2025-06-30,1060.95,989.3149999999999,64.65581115929706,1.1079437209983791,False,True,False,Hold
9,2025-07-01,1049.6,967.2950000000001,74.32253079203738,1.1074030865592868,False,True,False,"Sell TECHM at ₹1671.20, Buy DATAMATICS at ₹621.60 on 2025-07-01"
8,2025-07-02,1051.6,,,,False,False,False,Hold
7,2025-07-03,1049.3000000000002,,,,False,False,False,Hold
6,2025-07-04,1008.0,,,,False,False,False,Hold
5,2025-07-07,962.5000000000001,,,,False,False,False,Hold
4,2025-07-08,966.3500000000001,,,,False,False,False,Hold
3,2025-07-09,947.5,,,,False,False,False,Hold
2,2025-07-10,926.9999999999999,,,,False,False,False,Hold
1,2025-07-11,870.35,,,,False,False,False,Hold
0,2025-07-14,840.75,,,,False,False,False,Hold
